Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Mount Desert Island Hospital,Total Current Liabilities,12401400,14582964,17765993,18088673,16882437
Mount Desert Island Hospital,Current Long Term Debt,,688107,1762835,2270648,2404282
Mount Desert Island Hospital,Accounts Payable and Accrued Expenses,6122217,8440516,9907798,10484631,8580365
Mount Desert Island Hospital,Estimated Third Party Settlements,1665211,874365,2220007,3127209,3622845
Mount Desert Island Hospital,Due to Affiliates,,,,,
Mount Desert Island Hospital,Other Current Liabilities,3925865,3505248,3367540,2072551,2666754
Mount Desert Island Hospital,Total Non-current Liabilities,8457687,15436736,14049387,13013348,12073361
Mount Desert Island Hospital,Long Term Debt,7170632,13872381,12319569,10970640,9609072
Mount Desert Island Hospital,Estimated Third Party Settlements,,,,,
Mount Desert Island Hospital,Due to Affiliates,309807,309807,309807,309807,309807
Mount Desert Island Hospital,Self Insurance Fund,,,,,
Mount Desert Island Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mount Desert Island Hospital,Other Non-Current Liabilities,977248,1254548,1420011,1732901,2154482
Mount Desert Island Hospital,Fund Balance Unrestricted,16861433,15829167,13622451,14265803,14865588
Mount Desert Island Hospital,Total Liabilities & Equity,37720520,45848867,45437831,45367824,43821386
Mount Desert Island Hospital,Total Restricted Assets,3504709,7060257,7122730,7075710,5715734
Mount Desert Island Hospital,Cash and Investments,3234728,4074037,4447782,4542085,2439974
Mount Desert Island Hospital,Receivables,269981,2215837,1917876,1424206,942196
Mount Desert Island Hospital,Other Assets,,770383,757072,1109419,2333564
Mount Desert Island Hospital,Total Restricted Liabilities and Equity,3504709,7060257,7122730,7075710,5715734
Mount Desert Island Hospital,Total Restricted Fund Balance,3504709,7060257,7122730,7075710,5715734
Mount Desert Island Hospital,Total Liabilities,,,,,
Mount Desert Island Hospital,Temporarily Restricted Net Assets,1608714,5051084,5222565,5141021,3674156
Mount Desert Island Hospital,Permanently Restricted Net Assets,1895995,2009173,1900165,1934689,2041578
Mount Desert Island Hospital,Total Gross Patient Service Revenue,,62073403,67743054,69665033,70392951
Mount Desert Island Hospital,Gross Inpatient Service Revenue,14810337,16713717,17956134,17111176,14816206
Mount Desert Island Hospital,Gross Outpatient Service Revenue,47263066,51029337,51708899,53281775,56013778
Mount Desert Island Hospital,Free Care,,,912931,855316,863130
Mount Desert Island Hospital,Bad Debt,,,,,2835620
Mount Desert Island Hospital,Contractuals,15153102,17191128,18379254,19408619,22439693
Mount Desert Island Hospital,Changes in Prior Year Estimated/Final Settlements,-362000,200000,-60000,-846000,-92000
Mount Desert Island Hospital,Net Patient Service Revenue,43533750,46535529,47391363,47520943,45127799
Mount Desert Island Hospital,Other Operating Revenue,870537,1084551,1331085,2687775,3779171
Mount Desert Island Hospital,Total Operating Revenue,44404287,47620080,48722448,50208718,48906970
Mount Desert Island Hospital,Total Operating Expenses,45473736,48341792,51650172,51354604,50393478
Mount Desert Island Hospital,Depreciation and Amortization,1762812,2013870,2170997,2064239,1876839
Mount Desert Island Hospital,Interest,398834,483062,806852,668632,709336
Mount Desert Island Hospital,Advertising Expenses,95195,95922,67367,46047,23606
Mount Desert Island Hospital,Allowed Advertising Expenses,76986,,,,
Mount Desert Island Hospital,Non-Allowed Advertising Expenses,18209,95922,67367,46047,23606
Mount Desert Island Hospital,Salaries and Benefits,28295173,29946650,32177253,31783143,31365713
Mount Desert Island Hospital,Other Operating Expenses,14921722,15802288,16427703,16792543,16417984
Mount Desert Island Hospital,Net Operating Income,-1069449,-721712,-2927724,-1145886,-1486508
Mount Desert Island Hospital,Total Non-operating Revenue,1080409,1037558,852036,314746,202403
Mount Desert Island Hospital,Total Investment Income,935201,888584,309546,81642,3194
Mount Desert Island Hospital,Interest and Dividends,201363,888584,309546,81642,3194
Mount Desert Island Hospital,Realized Gains/Losses on Sales of Securities,733838,,,,
Mount Desert Island Hospital,Permanently Impaired Security Writedowns,,,,,
Mount Desert Island Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mount Desert Island Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mount Desert Island Hospital,Other Non-Operating Revenues,,,,145208,148974
Mount Desert Island Hospital,Excess of Revenue over Expenses,10960,315846,-2075688,-831140,-1284105
Mount Desert Island Hospital,Extraordinary Gains/Losses,,-47375,,,
Mount Desert Island Hospital,Total Surplus/Deficit,10960,268471,-2075688,-831140,-1284105
Mount Desert Island Hospital,Total Change in Unrestricted Net Assets,1579106,830446,-2206716,643352,599785
Mount Desert Island Hospital,Net Assets Released for Restrictions,,,756199,186620,549962
Mount Desert Island Hospital,Unrealized Gains/Losses on Investments,811947,375355,-680990,400181,352042
Mount Desert Island Hospital,Minimum Pension Liability Adjustment,,,,,
Mount Desert Island Hospital,Transfers From/To Affiliates,,,,,
Mount Desert Island Hospital,Mergers,,,,,
Mount Desert Island Hospital,Consolidations with Support,,,,,
Mount Desert Island Hospital,Other Changes,,,,,
New England Rehabilitation Hospital,Total Current Assets,8815895,10296958,12101164,12319537,13120185
New England Rehabilitation Hospital,Cash and Investment,4870968,4733535,6745689,6335796,6696523
New England Rehabilitation Hospital,Current Assets Whose Use is Limited,,,,,
New England Rehabilitation Hospital,Net Patient Accounts Receivable,3593001,3819125,5057930,4445196,5140946
New England Rehabilitation Hospital,Due from Affiliates,,,,1145644,879399
New England Rehabilitation Hospital,Third Party Settlements Receivable,175059,1548993,,,
New England Rehabilitation Hospital,Other Accounts Receivable,,111,,,
New England Rehabilitation Hospital,Inventory,82715,91992,95138,128333,160994
New England Rehabilitation Hospital,Other Current Assets,94152,103202,202407,264568,242323
New England Rehabilitation Hospital,Total Non-Current Assets,11173412,10228175,9358160,9568921,8588251
New England Rehabilitation Hospital,Trustee Held Investments,,,,,
New England Rehabilitation Hospital,Board Designated and Undesignated Investments,,,,,
New England Rehabilitation Hospital,Due From Affiliates,,,,,
New England Rehabilitation Hospital,Investments in Affiliates,,,,,
New England Rehabilitation Hospital,Other Non-current Assets,,,,,
New England Rehabilitation Hospital,"Gross Property, Plant and Equipment",,17595481,17599291,17611033,18893577
New England Rehabilitation Hospital,Accumulated Depreciation,6422069,7371116,8252873,9324656,10405870
New England Rehabilitation Hospital,"Net Property, Plant and Equipment",,11173412,10228175,9358160,9568921
New England Rehabilitation Hospital,Total Unrestricted Assets,19989307,20525133,21459324,21888458,21708436
New England Rehabilitation Hospital,Total Current Liabilities,3689985,3978365,5710128,3179719,4866427
New England Rehabilitation Hospital,Current Long Term Debt,,816340,880589,808783,587947
New England Rehabilitation Hospital,Accounts Payable and Accrued Expenses,1341907,1382980,1122755,1378354,1694635
New England Rehabilitation Hospital,Estimated Third Party Settlements,,,,,
New England Rehabilitation Hospital,Due to Affiliates,116951,110323,1908562,,
New England Rehabilitation Hospital,Other Current Liabilities,1414787,1604473,1870028,1213418,2537571
New England Rehabilitation Hospital,Total Non-current Liabilities,10900844,10085456,9205894,8566495,7876771
New England Rehabilitation Hospital,Long Term Debt,10900844,10085456,9205894,8566495,7876771
New England Rehabilitation Hospital,Estimated Third Party Settlements,,,,,
New England Rehabilitation Hospital,Due to Affiliates,,,,,
New England Rehabilitation Hospital,Self Insurance Fund,,,,,
New England Rehabilitation Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
New England Rehabilitation Hospital,Other Non-Current Liabilities,,,,,
New England Rehabilitation Hospital,Fund Balance Unrestricted,5398478,6461312,6543302,10142244,8965238
New England Rehabilitation Hospital,Total Liabilities & Equity,19989307,20525133,21459324,21888458,21708436
New England Rehabilitation Hospital,Total Restricted Assets,,,,,
New England Rehabilitation Hospital,Cash and Investments,,,,,
New England Rehabilitation Hospital,Receivables,,,,,
New England Rehabilitation Hospital,Other Assets,,,,,
New England Rehabilitation Hospital,Total Restricted Liabilities and Equity,,,,,
New England Rehabilitation Hospital,Total Restricted Fund Balance,,,,,
New England Rehabilitation Hospital,Total Liabilities,,,,,
New England Rehabilitation Hospital,Temporarily Restricted Net Assets,,,,,
New England Rehabilitation Hospital,Permanently Restricted Net Assets,,,,,
New England Rehabilitation Hospital,Total Gross Patient Service Revenue,,44354920,47063036,47832890,50271637
New England Rehabilitation Hospital,Gross Inpatient Service Revenue,42116130,44639869,45537559,48221425,53369477
New England Rehabilitation Hospital,Gross Outpatient Service Revenue,2238790,2423167,2295331,2050212,2761710
New England Rehabilitation Hospital,Free Care,,,262865,138213,
New England Rehabilitation Hospital,Bad Debt,,,,,16488
New England Rehabilitation Hospital,Contractuals,13140827,14765396,13519661,15545681,19654486
New England Rehabilitation Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
New England Rehabilitation Hospital,Net Patient Service Revenue,30934740,31979405,33950606,34404646,35749811
New England Rehabilitation Hospital,Other Operating Revenue,389468,301608,421840,584457,686690
New England Rehabilitation Hospital,Total Operating Revenue,31324208,32281013,34372446,34989103,36436501
New England Rehabilitation Hospital,Total Operating Expenses,24936026,24920911,25393938,26491192,27254572
New England Rehabilitation Hospital,Depreciation and Amortization,997091,1022858,994456,1065840,1184634
New England Rehabilitation Hospital,Interest,987063,864779,760452,756403,695788
New England Rehabilitation Hospital,Advertising Expenses,49957,70597,,,
New England Rehabilitation Hospital,Allowed Advertising Expenses,49957,70597,,,
New England Rehabilitation Hospital,Non-Allowed Advertising Expenses,,,,,
New England Rehabilitation Hospital,Salaries and Benefits,14956638,14960640,15684962,16175576,16434503
New England Rehabilitation Hospital,Other Operating Expenses,7945277,8002037,7954068,8493373,8939647
New England Rehabilitation Hospital,Net Operating Income,6388182,7360102,8978508,8497911,9181929
New England Rehabilitation Hospital,Total Non-operating Revenue,5534,2732,3482,3031,7066
New England Rehabilitation Hospital,Total Investment Income,5534,2732,3482,3031,7066
New England Rehabilitation Hospital,Interest and Dividends,5534,2732,3482,3031,7066
New England Rehabilitation Hospital,Realized Gains/Losses on Sales of Securities,,,,,
New England Rehabilitation Hospital,Permanently Impaired Security Writedowns,,,,,
New England Rehabilitation Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
New England Rehabilitation Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
New England Rehabilitation Hospital,Other Non-Operating Revenues,,,,,
New England Rehabilitation Hospital,Excess of Revenue over Expenses,6393716,7362834,8981990,8500942,9188995
New England Rehabilitation Hospital,Extraordinary Gains/Losses,,,,,
New England Rehabilitation Hospital,Total Surplus/Deficit,6393716,7362834,8981990,8500942,9188995
New England Rehabilitation Hospital,Total Change in Unrestricted Net Assets,6393716,7362834,8981990,8500942,9188995
New England Rehabilitation Hospital,Net Assets Released for Restrictions,,,,,
New England Rehabilitation Hospital,Unrealized Gains/Losses on Investments,,,,,
New England Rehabilitation Hospital,Minimum Pension Liability Adjustment,,,,,
New England Rehabilitation Hospital,Transfers From/To Affiliates,,,,,
New England Rehabilitation Hospital,Mergers,,,,,
New England Rehabilitation Hospital,Consolidations with Support,,,,,
New England Rehabilitation Hospital,Other Changes,,,,,
Northern Maine Medical Center,Total Current Assets,9025994,10442503,19198110,22474103,19175008
Northern Maine Medical Center,Cash and Investment,2603737,2176157,5218569,10736559,8034453
Northern Maine Medical Center,Current Assets Whose Use is Limited,,,,,
Northern Maine Medical Center,Net Patient Accounts Receivable,5067316,5574399,5928098,5684117,5707418
Northern Maine Medical Center,Due from Affiliates,,,15967,23819,14369
Northern Maine Medical Center,Third Party Settlements Receivable,43844,,5796337,2615084,3311682
Northern Maine Medical Center,Other Accounts Receivable,29548,1506543,1160430,636607,451860
Northern Maine Medical Center,Inventory,725624,701365,785292,716381,742033
Northern Maine Medical Center,Other Current Assets,555925,484039,293417,2061536,913193
Northern Maine Medical Center,Total Non-Current Assets,19973635,18344400,21920264,23766146,23280814
Northern Maine Medical Center,Trustee Held Investments,257512,316665,336917,357169,377422
Northern Maine Medical Center,Board Designated and Undesignated Investments,564631,653850,680256,699890,700684
Northern Maine Medical Center,Due From Affiliates,,25291,51618,69133,52487
Northern Maine Medical Center,Investments in Affiliates,,,,,
Northern Maine Medical Center,Other Non-current Assets,1596686,1618767,4169691,3398931,2454904
Northern Maine Medical Center,"Gross Property, Plant and Equipment",,36901127,37289946,40392863,43727619
Northern Maine Medical Center,Accumulated Depreciation,19346321,21560119,23711081,24486596,24539851
Northern Maine Medical Center,"Net Property, Plant and Equipment",,17554806,15729827,16681782,19241023
Northern Maine Medical Center,Total Unrestricted Assets,28999629,28786903,41118374,46240249,42455822
Northern Maine Medical Center,Total Current Liabilities,11158294,6948705,9534083,13001935,9233260
Northern Maine Medical Center,Current Long Term Debt,,5945055,1108598,689827,685141
Northern Maine Medical Center,Accounts Payable and Accrued Expenses,5213239,4402224,5326368,6770172,4756508
Northern Maine Medical Center,Estimated Third Party Settlements,,1437883,2873702,5471429,3818262
Northern Maine Medical Center,Due to Affiliates,,,644186,75193,62465
Northern Maine Medical Center,Other Current Liabilities,,,,,
Northern Maine Medical Center,Total Non-current Liabilities,3334896,7267384,8453287,8563709,8165869
Northern Maine Medical Center,Long Term Debt,2889288,6783901,7835454,7880805,7299713
Northern Maine Medical Center,Estimated Third Party Settlements,,,,,
Northern Maine Medical Center,Due to Affiliates,,,,,
Northern Maine Medical Center,Self Insurance Fund,,,,,
Northern Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,,483483,617833,682904,866156
Northern Maine Medical Center,Other Non-Current Liabilities,445608,,,,
