Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
New England Rehabilitation Hospital,Total Restricted Liabilities and Equity,,,,,
New England Rehabilitation Hospital,Total Restricted Fund Balance,,,,,
New England Rehabilitation Hospital,Total Liabilities,,,,,
New England Rehabilitation Hospital,Temporarily Restricted Net Assets,,,,,
New England Rehabilitation Hospital,Permanently Restricted Net Assets,,,,,
New England Rehabilitation Hospital,Total Gross Patient Service Revenue,,43890260,41150273,39951606,41455939
New England Rehabilitation Hospital,Gross Inpatient Service Revenue,42546666,39282950,37887788,39393779,40718970
New England Rehabilitation Hospital,Gross Outpatient Service Revenue,1343594,1867323,2063818,2062160,2231993
New England Rehabilitation Hospital,Free Care,,,228686,229478,360975
New England Rehabilitation Hospital,Bad Debt,,,,,1372695
New England Rehabilitation Hospital,Contractuals,15991807,13280018,10543627,11327470,14759613
New England Rehabilitation Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
New England Rehabilitation Hospital,Net Patient Service Revenue,26297072,27225247,28879722,29696770,27535247
New England Rehabilitation Hospital,Other Operating Revenue,285472,486835,46196,86609,426085
New England Rehabilitation Hospital,Total Operating Revenue,26582544,27712082,28925918,29783379,27961332
New England Rehabilitation Hospital,Total Operating Expenses,22325717,22721835,23942768,24511797,24713480
New England Rehabilitation Hospital,Depreciation and Amortization,836724,791453,878431,884314,899359
New England Rehabilitation Hospital,Interest,1133975,969258,1383907,935256,907557
New England Rehabilitation Hospital,Other Operating Expenses,20355018,20961124,21680430,22692227,22906564
New England Rehabilitation Hospital,Net Operating Income,4256827,4990247,4983150,5271582,3247852
New England Rehabilitation Hospital,Total Non-operating Revenue,167546,258071,295004,156582,11379
New England Rehabilitation Hospital,Total Investment Income,167546,258071,295004,156582,11379
New England Rehabilitation Hospital,Interest and Dividends,167546,258071,295004,156582,11379
New England Rehabilitation Hospital,Realized Gains/Losses on Sales of Securities,,,,,
New England Rehabilitation Hospital,Permanently Impaired Security Writedowns,,,,,
New England Rehabilitation Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
New England Rehabilitation Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
New England Rehabilitation Hospital,Other Non-Operating Revenues,,,,,
New England Rehabilitation Hospital,Excess of Revenue over Expenses,4424373,5248318,5278154,5428164,3259231
New England Rehabilitation Hospital,Extraordinary Gains/Losses,,,,-2186,-26
New England Rehabilitation Hospital,Total Surplus/Deficit,4424373,5248318,5278154,5425978,3259205
New England Rehabilitation Hospital,Total Change in Unrestricted Net Assets,4424373,3352308,5278154,5425978,3259205
New England Rehabilitation Hospital,Net Assets Released for Restrictions,,,,,
New England Rehabilitation Hospital,Unrealized Gains/Losses on Investments,,,,,
New England Rehabilitation Hospital,Minimum Pension Liability Adjustment,,,,,
New England Rehabilitation Hospital,Transfers From/To Affiliates,,-1896010,,,
New England Rehabilitation Hospital,Mergers,,,,,
New England Rehabilitation Hospital,Consolidations with Support,,,,,
New England Rehabilitation Hospital,Other Changes,,,,,
Northern Maine Medical Center,Total Current Assets,9665027,11730298,11425457,9646369,9919166
Northern Maine Medical Center,Cash and Investment,3338883,3732616,5985917,4530516,3839780
Northern Maine Medical Center,Current Assets Whose Use is Limited,,,,,
Northern Maine Medical Center,Net Patient Accounts Receivable,3667700,4722891,3733241,3723139,3999675
Northern Maine Medical Center,Due from Affiliates,,,,,
Northern Maine Medical Center,Third Party Settlements Receivable,1346764,1821550,313726,,826101
Northern Maine Medical Center,Other Accounts Receivable,53000,70075,59374,50247,73846
Northern Maine Medical Center,Inventory,946824,1088395,989953,950006,922999
Northern Maine Medical Center,Other Current Assets,311856,294771,343246,392461,256765
Northern Maine Medical Center,Total Non-Current Assets,13955894,15885115,19429373,22837884,22236026
Northern Maine Medical Center,Trustee Held Investments,108348,150058,200255,215105,255105
Northern Maine Medical Center,Board Designated and Undesignated Investments,,,,,537389
Northern Maine Medical Center,Due From Affiliates,,,,,
Northern Maine Medical Center,Investments in Affiliates,,,,,
Northern Maine Medical Center,Other Non-current Assets,2341561,2436506,3246414,5339482,3123683
Northern Maine Medical Center,"Gross Property, Plant and Equipment",,24521837,27712240,31983793,34871266
Northern Maine Medical Center,Accumulated Depreciation,13015852,14413689,16001089,17587969,18937742
Northern Maine Medical Center,"Net Property, Plant and Equipment",,11505985,13298551,15982704,17283297
Northern Maine Medical Center,Total Unrestricted Assets,23620921,27615413,30854830,32484253,32155192
Northern Maine Medical Center,Total Current Liabilities,4776806,5605690,6070035,6596635,6020276
Northern Maine Medical Center,Current Long Term Debt,,749701,622900,1188548,565414
Northern Maine Medical Center,Accounts Payable and Accrued Expenses,4000589,4888007,4691139,5283578,4686476
Northern Maine Medical Center,Estimated Third Party Settlements,,,,500000,
Northern Maine Medical Center,Due to Affiliates,,,,,
Northern Maine Medical Center,Other Current Liabilities,26516,94783,190348,247643,320830
Northern Maine Medical Center,Total Non-current Liabilities,5356675,5809752,6575317,7868020,8693920
Northern Maine Medical Center,Long Term Debt,5356675,5809752,6575317,7868020,8693920
Northern Maine Medical Center,Estimated Third Party Settlements,,,,,
Northern Maine Medical Center,Due to Affiliates,,,,,
Northern Maine Medical Center,Self Insurance Fund,,,,,
Northern Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
Northern Maine Medical Center,Other Non-Current Liabilities,,,,,
Northern Maine Medical Center,Fund Balance Unrestricted,13487440,16199971,18209478,18019598,17440996
Northern Maine Medical Center,Total Liabilities & Equity,23620921,27615413,30854830,32484253,32155192
Northern Maine Medical Center,Total Restricted Assets,345732,455894,567465,719671,402401
Northern Maine Medical Center,Cash and Investments,345732,455894,567465,719671,402401
Northern Maine Medical Center,Receivables,,,,,
Northern Maine Medical Center,Other Assets,,,,,
Northern Maine Medical Center,Total Restricted Liabilities and Equity,345732,455894,567465,719671,402401
Northern Maine Medical Center,Total Restricted Fund Balance,345732,455894,567465,719671,402401
Northern Maine Medical Center,Total Liabilities,,,,,
Northern Maine Medical Center,Temporarily Restricted Net Assets,345732,455894,567465,719671,402401
Northern Maine Medical Center,Permanently Restricted Net Assets,,,,,
Northern Maine Medical Center,Total Gross Patient Service Revenue,,62179374,66040780,69768489,67957750
Northern Maine Medical Center,Gross Inpatient Service Revenue,26250856,26953045,29259352,26784638,26118880
Northern Maine Medical Center,Gross Outpatient Service Revenue,35928518,39087735,40509137,41173112,39432479
Northern Maine Medical Center,Free Care,,,539399,689526,396911
Northern Maine Medical Center,Bad Debt,,,,,382987
Northern Maine Medical Center,Contractuals,21358745,22651276,24046463,23370586,22476280
Northern Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,,-1300000,-1600000,-1700000,
Northern Maine Medical Center,Net Patient Service Revenue,39898243,43417472,46074747,44698882,41587230
Northern Maine Medical Center,Other Operating Revenue,1064802,1126664,1253368,957921,805680
Northern Maine Medical Center,Total Operating Revenue,40963045,44544136,47328115,45656803,42392910
Northern Maine Medical Center,Total Operating Expenses,39686577,42493214,45625019,46057385,44022837
Northern Maine Medical Center,Depreciation and Amortization,1642952,1692526,1589416,1709140,1915034
Northern Maine Medical Center,Interest,347148,378211,433758,437993,537308
Northern Maine Medical Center,Other Operating Expenses,37696477,40422477,43601845,43910252,41570495
Northern Maine Medical Center,Net Operating Income,1276468,2050922,1703096,-400582,-1629927
Northern Maine Medical Center,Total Non-operating Revenue,87151,661609,306411,210702,759693
Northern Maine Medical Center,Total Investment Income,85151,111399,148708,,
Northern Maine Medical Center,Interest and Dividends,85151,111399,148708,,
Northern Maine Medical Center,Realized Gains/Losses on Sales of Securities,,,,,
Northern Maine Medical Center,Permanently Impaired Security Writedowns,,,,,
Northern Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,2000,-29280,2500,,
Northern Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Northern Maine Medical Center,Other Non-Operating Revenues,,,,,579490
Northern Maine Medical Center,Excess of Revenue over Expenses,1363619,2712531,2009507,-189880,-870234
Northern Maine Medical Center,Extraordinary Gains/Losses,,,,,
Northern Maine Medical Center,Total Surplus/Deficit,1363619,2712531,2009507,-189880,-870234
Northern Maine Medical Center,Total Change in Unrestricted Net Assets,1388616,2712531,2009507,-189880,-578602
Northern Maine Medical Center,Net Assets Released for Restrictions,,,24997,,
Northern Maine Medical Center,Unrealized Gains/Losses on Investments,,,,,
Northern Maine Medical Center,Minimum Pension Liability Adjustment,,,,,
Northern Maine Medical Center,Transfers From/To Affiliates,,,,,
Northern Maine Medical Center,Mergers,,,,,
Northern Maine Medical Center,Consolidations with Support,,,,,
Northern Maine Medical Center,Other Changes,,,,,
Parkview Adventist Medical Center,Total Current Assets,9316705,10197855,6419211,4946664,6706401
Parkview Adventist Medical Center,Cash and Investment,75471,116473,220107,77363,1438500
Parkview Adventist Medical Center,Current Assets Whose Use is Limited,134738,129603,128051,39602,128269
Parkview Adventist Medical Center,Net Patient Accounts Receivable,5083289,4025825,4088710,3323525,3568187
Parkview Adventist Medical Center,Due from Affiliates,35652,670542,944060,170255,499279
Parkview Adventist Medical Center,Third Party Settlements Receivable,2915385,4118158,177426,570000,170000
Parkview Adventist Medical Center,Other Accounts Receivable,239000,20832,28742,,
Parkview Adventist Medical Center,Inventory,766804,1003045,758471,690211,863585
Parkview Adventist Medical Center,Other Current Assets,66366,113377,73644,75708,38581
Parkview Adventist Medical Center,Total Non-Current Assets,10363285,10372794,12134462,7503009,7523673
Parkview Adventist Medical Center,Trustee Held Investments,,,,,
Parkview Adventist Medical Center,Board Designated and Undesignated Investments,,,,,
Parkview Adventist Medical Center,Due From Affiliates,,,,,
Parkview Adventist Medical Center,Investments in Affiliates,,,,,
Parkview Adventist Medical Center,Other Non-current Assets,539400,715999,3163748,100821,553127
Parkview Adventist Medical Center,"Gross Property, Plant and Equipment",,20189945,21705347,22798272,22870755
Parkview Adventist Medical Center,Accumulated Depreciation,10366060,12048552,13827558,15468567,17142568
Parkview Adventist Medical Center,"Net Property, Plant and Equipment",,9823885,9656795,8970714,7402188
Parkview Adventist Medical Center,Total Unrestricted Assets,19679990,20570649,18553673,12449673,14230074
Parkview Adventist Medical Center,Total Current Liabilities,9031934,9298601,15465538,12438387,16814675
Parkview Adventist Medical Center,Current Long Term Debt,,481048,355619,1117550,5800031
Parkview Adventist Medical Center,Accounts Payable and Accrued Expenses,5518924,5990323,8297314,4852065,7253428
Parkview Adventist Medical Center,Estimated Third Party Settlements,,,2681793,1111200,2564669
Parkview Adventist Medical Center,Due to Affiliates,,643474,890294,98154,358474
Parkview Adventist Medical Center,Other Current Liabilities,3031962,2309185,2478587,576937,386946
Parkview Adventist Medical Center,Total Non-current Liabilities,3073228,2878033,2173518,2827300,2177640
Parkview Adventist Medical Center,Long Term Debt,3073228,2878033,2173518,2827300,2177640
Parkview Adventist Medical Center,Estimated Third Party Settlements,,,,,
Parkview Adventist Medical Center,Due to Affiliates,,,,,
Parkview Adventist Medical Center,Self Insurance Fund,,,,,
Parkview Adventist Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
Parkview Adventist Medical Center,Other Non-Current Liabilities,,,,,
Parkview Adventist Medical Center,Fund Balance Unrestricted,7574828,8394015,883370,-2816014,-4762243
Parkview Adventist Medical Center,Total Liabilities & Equity,19679990,20570649,18522426,12449673,14230072
Parkview Adventist Medical Center,Total Restricted Assets,111660,31247,31247,90469,45430
Parkview Adventist Medical Center,Cash and Investments,,,,,
Parkview Adventist Medical Center,Receivables,,,,,
Parkview Adventist Medical Center,Other Assets,111660,31247,31247,90469,45430
Parkview Adventist Medical Center,Total Restricted Liabilities and Equity,111660,31247,31247,90469,45430
Parkview Adventist Medical Center,Total Restricted Fund Balance,111660,31247,31247,90469,45430
Parkview Adventist Medical Center,Total Liabilities,,,,,
Parkview Adventist Medical Center,Temporarily Restricted Net Assets,111660,31247,31247,90469,45430
Parkview Adventist Medical Center,Permanently Restricted Net Assets,,,,,
Parkview Adventist Medical Center,Total Gross Patient Service Revenue,,74212532,81278218,80064192,76824965
Parkview Adventist Medical Center,Gross Inpatient Service Revenue,28478793,29900704,29402218,24924392,26227833
Parkview Adventist Medical Center,Gross Outpatient Service Revenue,45733739,51377514,50661974,51900573,55916610
Parkview Adventist Medical Center,Free Care,,,753789,929690,633777
Parkview Adventist Medical Center,Bad Debt,,,,,1438465
Parkview Adventist Medical Center,Contractuals,36874157,40815251,42447155,42058742,46414517
Parkview Adventist Medical Center,Changes in Prior Year Estimated/Final Settlements,,-1237000,660000,-1107000,-3272000
Parkview Adventist Medical Center,Net Patient Service Revenue,35146121,38366191,33439297,31815926,35226971
Parkview Adventist Medical Center,Other Operating Revenue,284723,330346,272569,301815,372818
Parkview Adventist Medical Center,Total Operating Revenue,35430844,38696537,33711866,32117741,35599789
